Title,State,Salary Type,Salary
Data Architect,NC,Hourly,$56
Data Architect,FL,Hourly,$82
Data Architect,NC,Hourly,$65
Data Architect,CA,Hourly,$75
Data Architect,NY,Yearly,"$120,000"
Data Architect,PA,Hourly,$70
Data Architect,NY,Yearly,"$92,500"
Data Architect,PA,Yearly,"$79,000"
Data Scientist,IL,Yearly,"$110,000"
Data Scientist,CA,Yearly,"$65,000"
Data Scientist,OH,Hourly,$49
Data Scientist,MD,Yearly,"$120,000"
Data Scientist,WA,Hourly,$62
Data Scientist,OR,Yearly,"$105,000"
Data Scientist,IL,Yearly,"$112,500"
Data Scientist,CA,Yearly,"$147,500"
Data Scientist,NY,Yearly,"$130,000"
Data Scientist,NJ,Yearly,"$110,000"
Data Scientist Advisor,VA,Hourly,$70
Data Scientist,TX,Yearly,"$45,000"
Data Scientist,CA,Yearly,"$67,500"
Data Scientist,TX,Hourly,$66
Data Analyst,NY,Yearly,"$49,000"
Data Analyst,TX,Yearly,"$75,000"
Data Analyst,NY,Yearly,"$58,500"
Data Analyst,TX,Yearly,"$125,000"
Data Analyst,MA,Yearly,"$110,000"
Data Analyst,NY,Yearly,"$58,500"
Data Analyst,TX,Hourly,$25
Data Analyst,VA,Yearly,"$42,500"
Data Analyst,MN,Hourly,$55
Data Analyst,MA,Yearly,"$35,000"
Data Scientist,IL,Yearly,"$110,000"
Data Scientist,CA,Yearly,"$65,000"
Data Scientist,OH,Hourly,$49
Data Scientist,MD,Yearly,"$120,000"
Data Scientist,WA,Hourly,$62
Data Scientist,OR,Yearly,"$105,000"
Data Scientist,IL,Yearly,"$112,500"
Data Scientist,CA,Yearly,"$147,500"
Data Scientist,NY,Yearly,"$130,000"
Data Scientist,NJ,Yearly,"$110,000"
Data Scientist Advisor,VA,Hourly,$70
Data Scientist,TX,Yearly,"$45,000"
Data Scientist,CA,Yearly,"$67,500"
Data Scientist,TX,Hourly,$66
Data Engineer,CO,Yearly,"$68,500"
Data Engineer,TX,Yearly,"$63,000"
Data Engineer,GA,Yearly,"$45,000"
Data Engineer,GA,Yearly,"$45,000"
Data Engineer,VA,Yearly,"$65,000"
Data Engineer,RI,Yearly,"$70,000"
Data Engineer,RI,Yearly,"$79,500"
Data Engineer,NC,Yearly,"$65,000"
Data Engineer,WI,Yearly,"$55,000"
Data Engineer,TX,Yearly,"$160,000"
Data Engineer,GA,Yearly,"$120,000"
Data Scientist,IL,Yearly,"$110,000"
Data Scientist,CA,Yearly,"$65,000"
Data Scientist,MD,Yearly,"$120,000"
Data Scientist,OH,Hourly,$49
Data Scientist,WA,Hourly,$62
Data Scientist,OR,Yearly,"$105,000"
Data Scientist,IL,Yearly,"$112,500"
Data Scientist,CA,Yearly,"$147,500"
Data Scientist,NY,Yearly,"$130,000"
Data Scientist,NJ,Yearly,"$110,000"
Data Scientist Advisor,VA,Hourly,$70
Data Scientist,TX,Yearly,"$45,000"
Data Scientist,CA,Yearly,"$67,500"
Data Scientist,TX,Hourly,$66
Data Scientist,MO,Yearly,"$59,000"
Data Scientist,MO,Yearly,"$59,000"
Data Scientist,MO,Yearly,"$71,000"
Data Scientist,NC,Yearly,"$76,000"
Data Scientist,WA,Yearly,"$44,000"
Data Scientist,OR,Yearly,"$107,000"
Data Scientist,CO,Hourly,$72
Data Scientist,TX,Yearly,"$95,000"
Data Scientist,TX,Hourly,$25
Data Scientist,WA,Yearly,"$100,000"
Data Scientist,AR,Yearly,"$86,000"
Data Scientist,MD,Yearly,"$57,500"
Data Scientist,VA,Yearly,"$175,000"
Data Scientist,CA,Yearly,"$120,000"
Data Scientist,NY,Yearly,"$162,500"
Data Scientist,CO,Yearly,"$132,500"
Data Scientist,IL,Yearly,"$110,000"
Data Scientist,CA,Yearly,"$65,000"
Data Scientist,OH,Hourly,$49
Data Scientist,MD,Yearly,"$120,000"
Data Scientist,WA,Hourly,$62
Data Scientist,OR,Yearly,"$105,000"
Data Scientist,IL,Yearly,"$112,500"
Data Scientist,CA,Yearly,"$147,500"
Data Scientist,NY,Yearly,"$130,000"
Data Scientist,NJ,Yearly,"$110,000"
Data Scientist Advisor,VA,Hourly,$70
Data Scientist,TX,Yearly,"$45,000"
Data Scientist,CA,Yearly,"$67,500"
Data Scientist,TX,Hourly,$66
