Title,State,Salary,Salary Type
Data Scientist,Md,"$195,000.00 ",Yearly
Data Scientist,Md,"$195,000.00 ",Yearly
Data Scientist,Md,"$195,000.00 ",Yearly
Data Scientist,Md,"$195,000.00 ",Yearly
Data Engineer,Va,"$175,000.00 ",Yearly
Data Engineer,Va,"$175,000.00 ",Yearly
Data Engineer,Va,"$175,000.00 ",Yearly
Data Scientist,Wa,"$99,955.00 ",Yearly
Data Scientist,Ma,$85.50 ,Hourly
Data Engineer,Il,"$93,800.00 ",Yearly
Data Engineer,Il,"$93,800.00 ",Yearly
Data Scientist,Ca,"$107,937.00 ",Yearly
Data Scientist,Oh,"$125,000.00 ",Yearly
Data Scientist,Oh,"$125,000.00 ",Yearly
Data Scientist,Oh,"$125,000.00 ",Yearly
Data Scientist,Oh,"$125,000.00 ",Yearly
Data Scientist,Co,"$214,250.00 ",Yearly
Data Scientist,Mn,"$130,941.00 ",Yearly
Data Scientist,Ct,"$135,000.00 ",Yearly
Data Scientist,Va,"$82,500.00 ",Yearly
Data Scientist,Va,"$82,500.00 ",Yearly
Data Scientist,Il,"$93,800.00 ",Yearly
Data Scientist,Ca,"$118,400.00 ",Yearly
Senior Data Analyst,Ca,"$132,400.00 ",Yearly
Senior Data Analyst,Ca,"$132,400.00 ",Yearly
Data Scientist,Ca,"$170,000.00 ",Yearly
Data Scientist,Ny,"$167,000.00 ",Yearly
Data Scientist,Ny,"$128,087.00 ",Yearly
Data Scientist,Ny,"$167,000.00 ",Yearly
Data Scientist,Ny,"$130,000.00 ",Yearly
Data Scientist,Ny,"$167,000.00 ",Yearly
Data Scientist,Ny,"$125,000.00 ",Yearly
Data Scientist,Ny,"$125,000.00 ",Yearly
Data Scientist,Ny,"$170,000.00 ",Yearly
Data Scientist,Ny,"$165,000.00 ",Yearly
Senior Data Analyst,Ny,"$125,000.00 ",Yearly
Senior Data Analyst,Ny,"$125,000.00 ",Yearly
Data Scientist,Ny,"$117,500.00 ",Yearly
Data Analyst,Ny,"$87,500.00 ",Yearly
Data Scientist,Il,"$96,230.50 ",Yearly
Data Scientist,Ri,"$110,100.00 ",Yearly
Data Scientist,Wa,$70.00 ,Hourly
Data Scientist,Md,"$152,221.50 ",Yearly
Data Scientist,Ca,"$135,000.00 ",Yearly
Data Scientist,Ca,"$111,027.00 ",Yearly
Data Scientist,Ca,"$111,027.00 ",Yearly
Data Scientist,Ca,"$147,500.00 ",Yearly
Data Scientist,Ca,$75.00 ,Hourly
Data Scientist,Ca,"$97,500.00 ",Yearly
Data Scientist,Ca,"$97,500.00 ",Yearly
Data Scientist,Ca,"$97,500.00 ",Yearly
Data Scientist,Sc,"$140,900.00 ",Yearly
Data Scientist,Sc,"$140,900.00 ",Yearly
Data Scientist,Ct,"$83,750.00 ",Yearly
Data Scientist,Ct,"$83,750.00 ",Yearly
Data Scientist,Ct,"$83,750.00 ",Yearly
Data Scientist,Ct,"$83,750.00 ",Yearly
Data Scientist,Dc,"$128,816.00 ",Yearly
Data Scientist,Dc,"$82,500.00 ",Yearly
Data Scientist,Ny,"$128,087.00 ",Yearly
Data Scientist,Dc,"$152,221.50 ",Yearly
Data Scientist,Ny,"$117,500.00 ",Yearly
Data Scientist,Ny,"$117,500.00 ",Yearly
Senior Data Analyst,United States-Remote,"$145,500.00 ",Yearly
Data Scientist,Az,"$92,500.00 ",Yearly
Senior Data Analyst,United States,"$112,500.00 ",Yearly
Senior Data Analyst,United States,"$112,500.00 ",Yearly
Data Scientist,United States,"$175,000.00 ",Yearly
Senior Data Analyst,United States,"$112,500.00 ",Yearly
Data Scientist,Ca,"$155,000.00 ",Yearly
Data Scientist,Ca,"$145,476.00 ",Yearly
Data Scientist,Tx,"$102,500.00 ",Yearly
Data Scientist,Tx,"$102,500.00 ",Yearly
Data Scientist,Ca,"$125,000.00 ",Yearly
Data Scientist,Dc,"$117,000.00 ",Yearly
Data Scientist,Dc,"$117,000.00 ",Yearly
Data Scientist,Ca,$54.00 ,Hourly
Data Scientist,Oh,"$92,500.00 ",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ny,"75,000.00",Yearly
Data Analyst,Ny,"102,500.00",Yearly
Data Analyst,Nv,"89,500.00",Yearly
Data Analyst,Ny,"102,500.00",Yearly
Data Analyst,Va,"80,000.00",Yearly
Data Analyst,Nv,"89,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nv,"86,554.50",Yearly
Senior Data Analyst,Ny,"87,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nj,"130,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Co,"72,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Va,"80,000.00",Yearly
Data Analyst,Ca,"80,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ny,"105,000.00",Yearly
Data Analyst,Ny,"105,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nv,"86,554.50",Yearly
Data Analyst,Ca,"106,100.00",Yearly
Data Analyst,Nc,"92,456.50",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nv,"86,554.50",Yearly
Senior Data Analyst,Ny,"125,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nc,"80,000.00",Yearly
Data Analyst,Il,"137,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Mi,"76,559.50",Yearly
Senior Data Analyst,Ny,"105,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Senior Data Analyst,Ca,"110,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,"86,050.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,"88,250.00",Yearly
Senior Data Analyst,Ny,"105,000.00",Yearly
Data Analyst,Tx,"100,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Or,"96,306.00",Yearly
Data Analyst,Az,"71,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,"123,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Mo,"90,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,"123,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Mo,"90,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Senior Data Analyst,Ca,"127,800.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ct,48.83,Hourly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ny,"76,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ma,"83,997.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,"87,900.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Senior Data Analyst,Ca,"132,400.00",Yearly
Data Analyst,Il,50,Hourly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ca,47.5,Hourly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ma,"83,997.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ma,"83,997.00",Yearly
Data Analyst,Az,"70,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Nc,"85,000.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Va,"120,000.00",Yearly
Data Analyst,Ny,"82,050.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Senior Data Analyst,Ny,"127,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Wi,"87,500.00",Yearly
Data Analyst,Nc,"125,500.00",Yearly
Data Analyst,Va,"120,000.00",Yearly
Data Analyst,Co,16,Hourly
Data Analyst,Nc,"125,500.00",Yearly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ny,"87,500.00",Yearly
Data Analyst,Ny,"67,070.00",Yearly
Senior Data Analyst,Ca,"121,000.00",Yearly
Data Analyst,Ny,"80,000.00",Yearly
Data Analyst,Co,16,Hourly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Analyst,Ny,"105,000.00",Yearly
Data Analyst,Va,"120,000.00",Yearly
Data Analyst,Ca,50.57,Hourly
Hr Business Analyst,Dc,"97,500.00",Yearly
Data Engineer,Ga,62.5,Hourly
Data Engineer,Va,"150,000.00",Yearly
Data Engineer,Va,"150,000.00",Yearly
Data Engineer,Ny,"147,500.00",Yearly
Data Engineer,Nj,"72,500.00",Yearly
Data Engineer,Wa,"132,500.00",Yearly
Data Engineer,Ut,"94,824.50",Yearly
Data Engineer,Wa,"130,525.00",Yearly
Data Engineer,Wa,"130,525.00",Yearly
Data Engineer,Ca,62.5,Hourly
Data Engineer,Tx,52.5,Hourly
Data Engineer,Mn,55,Hourly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Md,"112,500.00",Yearly
Data Engineer,Md,"112,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Ca,70,Hourly
Data Engineer,Md,"112,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Md,"115,150.00",Yearly
Data Engineer,Tx,61.32,Hourly
Data Engineer,Ne,"107,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Mn,"105,000.00",Yearly
Data Engineer,Il,"105,000.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Dc,67.5,Hourly
Data Engineer,Oh,"159,000.00",Yearly
Data Engineer,Co,"132,500.00",Yearly
Data Engineer,Mn,"105,000.00",Yearly
