Title,State,Salary Type,Salary
Data Engineer,CA,Hourly,$35.00
Data Engineer,TX,Hourly,$52.50
Data Engineer,CA,Hourly,$62.50
Data Engineer,VA,Yearly,"$80,000.00"
Data Engineer,MN,Hourly,$55.00
Data Engineer,TX,Hourly,$67.50
Data Engineer,DC,Hourly,$70.00
Data Engineer,VA,Yearly,"$110,000.00"
Data Engineer,PA,Yearly,"$82,500.00"
Data Engineer,CA,Hourly,$62.50
Data Engineer,TX,Hourly,$67.50
Data Engineer,MN,Yearly,"$125,000.00"
Data Engineer,CO,Yearly,"$132,500.00"
Data Engineer,DC,Hourly,$70.00
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,TX,Hourly,$61.32
Data Engineer,FL,Yearly,"$124,652.50"
Data Engineer,CA,Hourly,$62.50
Data Engineer,TX,Hourly,$67.50
Data Engineer,WA,Yearly,"$68,900.00"
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,TX,Hourly,$61.32
Data Engineer,TN,Yearly,"$92,150.00"
Data Engineer,KY,Yearly,"$55,550.00"
Data Engineer,CA,Hourly,$62.50
Data Engineer,TX,Hourly,$67.50
Data Engineer,NY,Yearly,"$82,200.00"
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,TX,Hourly,$61.32
Data Engineer,GA,Hourly,$62.50
Data Engineer,ID,Yearly,"$88,700.00"
Data Engineer,VA,Yearly,"$110,000.00"
Data Engineer,CA,Hourly,$62.50
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,TX,Hourly,$61.32
Data Engineer,PA,Yearly,"$132,500.00"
Data Engineer,GA,Hourly,$62.50
Data Engineer,IL,Yearly,"$50,450.00"
Data Engineer,CA,Hourly,$62.50
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,GA,Hourly,$62.50
Data Engineer,PA,Yearly,"$82,500.00"
Data Engineer,CA,Hourly,$62.50
Data Engineer,USA,Yearly,"$175,000.00"
Data Engineer,OH,Yearly,"$48,000.00"
Data Engineer,CA,Yearly,"$135,000.00"
Data Engineer,CA,Hourly,$62.50
