title,company,skills,city,state,type,salary,salary_type,salary_min,salary_max,salary_median,posted_date,origin
Data Engineer,Atlas Labs,"['Cloud', 'Python', 'Airflow', 'GCP']",,,Remote,"$200,000 - $240,000",yearly,"200,000.00","240,000.00","220,000.00",,Indeed.com
Data Scientist,Jade Biz Services,Python,,,Remote,,,,,,3/28/2023,dice.com
Data Scientist,"Engage Partners, Inc.",AI,New York,NY,Onsite,Depends on Experience,,,,,3/27/2023,dice.com
Data Scientist,Darwin Recruitment,Data Engineering,Chicago,IL,Onsite,$100000.00 - $120000.00 per annum,yearly,100000,120000,110000,4/15/2023,dice.com
Data Scientist,ABN TECH CORP,"Python, ML, Arima, Sarima",San Francisco,CA,Onsite,$60 - $70,yearly,60000,70000,65000,4/14/2023,dice.com
Data Scientist,"Technology Solutions Provider, Inc.","Data Science, Python",,,Onsite,Depends on Experience,,,,,4/13/2023,dice.com
Data Scientist,"Pyramid Consulting, Inc.","Data Scientist, Python, AI, ML",Irving,TX,Onsite,$70 - $90,yearly,70000,90000,80000,3/16/2023,dice.com
Data Scientist,Randstad Technologies,"Data Scientist ,  MMM or MTA",San Bruno,CA,Onsite,USD60 - USD80,hourly,60000,80000,70000,3/24/2023,dice.com
Data Scientist,EMW Staffing Solutions LLC,Geospatial,Springfield,VA,Onsite,"$85,000 - $130,000",yearly,85000,130000,107500,3/28/2023,dice.com
Data Scientist,Denken Solutions,"Classical ML, Statistics Structured, Performance Metrics, Data Pre-Processing, Neural or NLP, AB Testing",,WI,Onsite,USD Depends on Experience,,,,,4/14/2023,dice.com
Data Scientist,Amtex System Inc.,"Python, Java, AWS, GCP, C/C++, Data, Perl, BQ, Scientist, Vertex AI",San Jose,CA,Onsite,,,,,,4/13/2023,dice.com
Data Scientist,Taras Technology LLC,"Data Scientist, NLP, Deep Learning, Text Mining, Probabilistic, Pyspark, Java, Hadoop, Hive, Spark",Alpharetta,GA,Onsite,$65 - $70,yearly,65000,70000,67500,4/14/2023,dice.com
Data Scientist,"Zachary Piper Solutions, LLC",,McLean,VA,Onsite,,,,,,4/15/2023,dice.com
Data Scientist,Xcelligen Systems Inc.,"Python, Postgres, Tableau, Oracle, SQL, OCR, AI, Business Intelligence, NLP, ETL, AI",,,Onsite,Depends on Experience,,,,,3/20/2023,dice.com
