index,title,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,skills,origin
2,Data Engineer,"Maas Energy Works, Inc",Redding,CA,Onsite,$24 - $46 an hour,hourly,24.0,46,35.0,,simplyhired.com
6,Data Engineer,Ghritachi Inc,Dallas,TX,Onsite,$50 - $55 an hour,hourly,50.0,55,52.5,,simplyhired.com
7,Data Engineer,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60.0,65,62.5,,simplyhired.com
11,Data Engineer,Titan America,Roanoke,VA,Onsite,$75000 - $85000,yearly,75000.0,85000,80000.0,,simplyhired.com
13,Data Engineer,Peach IT Professionals,Braham,MN,Onsite,$40 - $70 an hour,hourly,40.0,70,55.0,,simplyhired.com
14,Data Engineer,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
15,Data Engineer,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65.0,70,67.5,,simplyhired.com
16,Data Engineer,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65.0,75,70.0,,simplyhired.com
18,Data Engineer,"Bluemont Technology & Research, Inc.",Norfolk,VA,Onsite,$90000 - $130000,yearly,90000.0,130000,110000.0,,simplyhired.com
25,Data Engineer,Blueprint Strategic Advisory Partners,Warrington,PA,Onsite,$80000 - $85000,yearly,80000.0,85000,82500.0,,simplyhired.com
26,Data Engineer,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60.0,65,62.5,,simplyhired.com
29,Data Engineer,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
30,Data Engineer,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65.0,70,67.5,,simplyhired.com
32,Data Engineer,Bay & Bay Transportation,Eagan,MN,Onsite,$100000 - $150000,yearly,100000.0,150000,125000.0,,simplyhired.com
33,Data Engineer,Zoll Medical Corporation,Broomfield,CO,Onsite,$125000 - $140000,yearly,125000.0,140000,132500.0,,simplyhired.com
34,Data Engineer,Gridiron IT,Washington,DC,Onsite,$65 - $75 an hour,hourly,65.0,75,70.0,,simplyhired.com
35,Data Engineer,West Shore Home,,,Remote,$80000 - $120000,yearly,80000.0,120000,100000.0,,simplyhired.com
36,Data Engineer,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45.0,50,47.5,,simplyhired.com
37,Data Engineer,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000.0,250000,175000.0,,simplyhired.com
38,Data Engineer,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
43,Data Engineer,Amplify Resources Group,Orlando,FL,Onsite,$109305 - $140000,yearly,109305.0,140000,124652.5,,simplyhired.com
48,Data Engineer,Fuge Technologies Inc,West Hollywood,CA,Onsite,$60 - $65 an hour,hourly,60.0,65,62.5,,simplyhired.com
50,Data Engineer,Infoway solutions LLC,Santa Clara,CA,Onsite,Up to $68 an hour,hourly,,68,,,simplyhired.com
51,Data Engineer,Integration Developer Network LLC,Houston,TX,Onsite,$65 - $70 an hour,hourly,65.0,70,67.5,,simplyhired.com
52,Data Engineer,West Shore Home,,,Remote,$80000 - $120000,yearly,80000.0,120000,100000.0,,simplyhired.com
55,Data Engineer,Sound,Tukwila,WA,Onsite,$60800- $77000,yearly,60800.0,77000,68900.0,,simplyhired.com
56,Data Engineer,Konnectingtree,,,Remote,$45 - $50 an hour,hourly,45.0,50,47.5,,simplyhired.com
57,Data Engineer,Wheels Up,,USA,Onsite,$100000 - $250000,yearly,100000.0,250000,175000.0,,simplyhired.com
58,Data Engineer,Fastechnowiz Solutions Inc,Westlake,TX,Onsite,$57.63 - $65.00 an hour,hourly,57.63,65,61.32,,simplyhired.com
59,Data Engineer,BlueCross BlueShield of Tennessee,Chattanooga,TN,Onsite,$81300 - $103000,yearly,81300.0,103000,92150.0,,simplyhired.com
60,Data Engineer,Genuent,,,Remote,"$130,000 ",yearly,130000.0,,,,simplyhired.com
62,Data Engineer,Thomas-Matthew Associates,,,Remote,$115000 - $130000,yearly,115000.0,130000,122500.0,,simplyhired.com
