,job_title,location,salary_range,job_description
0,data analyst,"Bloomington, IN",$44K - $84K (Glassdoor est.),"National Salvage, an industry leader, seeks a Project Analyst to deliver BI data, reports and reporting solutions. This position is based at our corporate headquarters in Bloomington, Ind. This is NOT a remote position. The ideal candidate understands the advantage of working IT for a small company, including having a personal stake in the design and outcome of projects and, ultimately, company success. The focus is on high-quality, detailed work based on established standards, while thriving with repetitive routines in a steady environment. The position requires a strong ability to place the appropriate data to business users. It provides the chance to work on company initiatives and exciting IT projects.DUTIES, TASKS, AND RESPONSIBILITIESCreate, manage and support databases, data models, BI reports.Define specifications for a data warehousing infrastructure in support of the company’s BI needsWork directly with stakeholders to generate actionable reporting on production, sales and inventory.Collaborate with IT to develop and deploy business solutions using Office 365.Generate ad hoc reports as requested from multiple department heads.Position-specific CompetenciesExperience with Power BI & MS SQL ServerExperience using Python in a business environment strongly preferredAbility to create and present actionable business reportingAdvanced Excel skillsExperience with Power Apps & Power Automate a plusEffective written and oral communication abilities.Qualifications3-plus years of experience with data-and/or reporting-related responsibilities is required.Benefits of NationalCompetitive payFull health benefits including health, dental, vision, and long term disability401(K) plan with company matchFlexible dates for time offThis job description is not intended to be comprehensive list of the duties and responsibilities of the position. Duties and responsibilities may change without notice.This is an exempt position."
1,data analyst,"Camden, NJ",$65K - $131K (Glassdoor est.),"Diversity of backgrounds, ideas, thoughts, and experiences is vital to our culture and the way we do business. Creating an environment where differences are embraced and where every person feels engaged and included makes us safer, stronger, and more successful.With a history dating back to 1886, American Water is the largest and most geographically diverse U.S. publicly traded water and wastewater utility company. The company employs more than 7,000 dedicated professionals who provide regulated and market-based drinking water, wastewater and other related services to 15 million people in 46 states. American Water provides safe, clean, affordable and reliable water services to our customers to help make sure we keep their lives flowing. For more information, visit amwater.com and follow American Water on Twitter, Facebook and LinkedIn.Primary RoleThe Sr. Data Visualization Analyst (Sr. DVA) role serves as liaison between business SMEs, project teams, Technical teams, senior and other stakeholders with focus on data visualization and storytelling, and relevant solution delivery. The Sr. DVA is responsible for evaluating, understanding, translating and presenting information in ways that are universally understandable or easy to interpret, and spot patterns, trends and correlations. These representations include charts, graphs, dashboard, infographics and other pictorial diagrams. The Sr. DVA will understand and use data science as well as technology tools to communicate and deliver information expressed as visual, predictive, and/or prescriptive analytics based on HR’s operational & business needs.The Sr. DVA performs a variety of duties related to data including conducting full life cycle analysis from requirements gathering to data collection and creating reports/data visualizations. This position provides independent, capable professional performance of assigned tasks and escalates when necessary. The Sr. DVA stays current on emerging IT and data trends, identifies opportunities for improvement and cost savings and works with Digital HR team & business partners to determine new ways to use data. The Sr. DVA responsible for mentoring and coaching of Digital HR team members to elevate and strengthen the team’s data analytics understanding and skills. This also includes business partner if/when appropriate.Key AccountabilitiesMaking large and/or complex data more accessible, understandable and usableTransforming, improving and integrating data, depending on the business requirementsCombining the data result sets across multiple sources (also known as the data federation)Delivering the data in a useful and appealing way to usersInternal abstract data visualization involving production of graphical representations of data that has no spatial elementsIdentification of data correlation & development of data mappingWork closely with business partners to understand and anticipate their data needs by gathering and analyzing internal application data needs by means of interviews, workflow analyses and facilitated discussionsInterpret data, analyze results using statistical techniques and provide ongoing reportsDevelop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and qualityAcquire data from primary or secondary data sources and maintain integrations & data integrityIdentify, analyze, and interpret trends or patterns in complex data setsFilter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problemsWork with management to prioritize business and information needsLocate and define new process improvement opportunitiesPerforms data conversions, imports, and exports of data within and between systems.Merges BI data from disparate systems and applications.Knowledge/SkillsStrong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAbility to see and/or uncover the ‘bigger picture’ as it relates to data trends, patterns, and correlations, and come to new conclusions based on the findingsComfortable with juggling facts, figures, and number crunchingAbility to design and build data sets preferableExcellent Math skillsExcellent Critical thinking skillsAdvanced SQL & Excel skillsStrong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)JavaScript a plusKnowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Technical expertise regarding data models, database design development, data mining and segmentation techniques, building data visualizationsStrong understanding & application of Relational Database Management SystemsStrong experience using Business Intelligence and Data Visualization tools including Power BI and/or QuickSightAdept at queries, report writing and presenting findingsAbility to work with others and participate in a team environment.Self-motivated; willing to work under pressure and stress at times on multiple projects simultaneously.Experience/Education5+ years in data analytics and demonstrated aptitude with QuickSight, Power BI or similar data visualization software required.5+ years in data modeling, data scrubbing, and data quality reviews required.5+ years working with large corporate-wide business data sets and critical business metrics required.7+ years of functional experience in a business function preferred5+ years of subject matter expertise and/or business analysis skills preferred5+ years of relevant experience in Data Governance and Data Quality preferredExperience with predictive & prescriptive analytics a mustExperience in eliciting business requirements from stakeholders and translating into working technical solutions.Experience using HCM solutions, specifically SuccessFactors/SAP a plusExperience using lean principles including conducting empathy interviews, value stream mapping and continual service improvement preferableBachelor’s degree in Math, Statistics, Computer Science, Information Systems or equivalent relevant work experience.Advanced degree preferred.Travel RequirementsUp to 10% travel as requiredCompetenciesChampions safetyCustomer obsessedCultivates innovationNimble learningDrives ResultsCollaboratesJoin American Water...We Keep Life Flowing™American Water is firmly committed to Equal Employment Opportunity (EEO) and prohibits employment discrimination for employees and applicants based on his or her age, race, color, pregnancy, gender, gender identity, sexual orientation, national origin, religion, marital status, citizenship, or because he or she is an individual with a disability, protected veteran or other status protected by federal, state, and local laws."
2,data analyst,"Milwaukee, WI",$65K - $79K (Employer est.),"Financial Data AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158At Uline, Finance isn’t just about the numbers; it’s about supporting the entire business.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.Position ResponsibilitiesAnalyze current manual processes for improvement opportunities.Define problem scope and think critically about potential solutions.Develop process-improvement solutions that make use of Excel / VBA to automate procedures.Minimum RequirementsBachelor's degree in finance or accounting.Strong analytical skills with attention to detail and accuracy.Adept at creating queries, writing reports and presenting findings.Strong SQL skills a must.VBA (or similar) programming knowledge required.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-TE1#CORP"
3,data analyst,United States,None,"TeamSoft’s client is looking for a Data Analyst-EDM Solutions!Qualifications: Must have strong SQL coding experience and knowledge of data warehousing principles.Must be able to write and read Source to Target Mapping Documentation, profile data, as well as be able to gauge fitness for purpose.Knowledgeable of a minimum of two Health Insurance domains.Good understanding of Health Plan/PBM implementation processes.Knowledgeable of Governmental Reporting processes and timelines.Must have work experience with data from a minimum of one payer system.Must be a US Citizen or Green Card Holder. No C2C available.Job Types: Full-time, ContractSchedule:8 hour shiftEducation:Bachelor's (Required)Experience:SQL: 2 years (Preferred)Data Mapping: 2 years (Preferred)Health Insurance: 2 years (Preferred)Data warehousing: 2 years (Preferred)Governmental Reporting: 2 years (Preferred)Contract Length:7 - 11 monthsContract Renewal:LikelyWork Location:Multiple locationsWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processSocial distancing guidelines in placeSanitizing, disinfecting, or cleaning procedures in place"
4,data analyst,"Greensboro, GA",None,"Business Intelligence Data AnalystLocation: Remote PositionBankSouth seeks an experienced Business Intelligence Data Analyst. This position works with the Innovation Team lead by the SVP, Chief Innovation Officer. This is a full-time opportunity to work remotely with a small team of seasoned marketing professionals. The Marketing Department uses data analytics and creative content strategy and execution programs to offer a digital-only banking experience for current and future customers. The successful candidate will have thorough knowledge of collecting, analyzing and interpreting data and results to identify actionable insights and recommendations for use in new deposit relationship creation. This position identifies, analyzes, and interprets trends or patterns in complex data to provide answers to business questions as well as offer support in the collaborative creation of successful multi-lateral marketing campaigns.SKILLS AND ABILITIES: Ability to manipulate large and complex data setsAbility to articulate how data and analysis relates to KPIs and managing business outcomesUnderstanding of what can be improved by better data and analysisAbility to navigate, extract, explore, qualify and analyze diverse internal and external dataAbility to measure and monitor results of applied recommendations and present adjustmentsAbility to steward data and processes for standardization, adoption and acceptance on an ongoing basisDevelop standards for best practices for reporting and archiving data analysisAbility to self-govern BI content and analytic environmentIdentify trends using BI toolsA knack for inquisitive problem solvingAbility to ensure all data acquisition, sharing, and results of applied recommendations are compliant with company standardsREQUIREMENTS: Bachelor’s degree in a quantitative field such as econometrics, computer science or modeling, engineering or applied mathematics, or equivalent work experienceFive to seven years of statistical experienceMinimum four years of data extraction for analysis of relational databases, using SQL to build queries and automate processesProven background of prioritizing projects/requirements with a link to business impactPrior experience with Jack Henry Associates’ Silverlake core systems preferredADDITIONAL SKILLS AND ABILITIES: Ability to train and educate othersEffective communication skills in relating complicated subject matter to senior managementAppreciation and adoption of interdepartmental coordinationManage timely flow, meeting requested deadlines of results to usersAbility to work both independently and collaboratively with various business partners to provide a holistic view of the analysisHighly organized and able to work on multiple projects simultaneously· Ability to manage, protect, and maintain confidential informationADA RequirementsPhysical RequirementsIs able to bend, sit, and stand in order to perform primarily sedentary work with limited physical exertion and occasional lifting of up to 10 lbs. Must be capable of climbing / descending stairs in an emergency situation. Must be able to operate routine office equipment including computer terminals and keyboards, telephones, copiers, facsimiles, and calculators. Must be able to routinely perform work on computer for an average of 6-8 hours per day, when necessary. Must be able to work extended hours or travel off site whenever required or requested by management. Must be capable of regular, reliable and timely attendance.Working ConditionsMust be able to routinely perform work indoors in climate-controlled shared work area with minimal noise.Mental and/or Emotional RequirementsMust be able to perform job functions independently or with limited supervision and work effectively either on own or as part of a team. Must be able to read and carry out various written instructions and follow oral instructions. Must be able to complete basic mathematical calculations, spell accurately, and understand computer basics. Must be able to speak clearly and deliver information in a logical and understandable sequence. Must be capable of dealing calmly and professionally with numerous different personalities from diverse cultures at various levels within and outside of the organization and demonstrate highest levels of customer service and discretion when dealing with the public. Must be able to perform responsibilities with composure under the stress of deadlines / requirements for extreme accuracy and quality and/or fast pace. Must be able to effectively handle multiple, simultaneous, and changing priorities. Must be capable of exercising highest level of discretion on both internal and external confidential matters.BankSouth is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity, disability, or veteran status.Job Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programEmployee discountHealth insuranceLife insurancePaid time offVision insuranceSchedule:Monday to FridayCOVID-19 considerations:To keep our bankers as safe as possible, we've installed clear plastic barriers, and provided face masks and hand sanitizer.Work Location:Fully RemoteCompany's website:www.banksouth.comCompany's Facebook page:https://www.facebook.com/BankSouth/Benefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:Yes"
5,data analyst,"Waukegan, IL",$46K - $64K (Glassdoor est.),"Local Applicants only.LMT Onsrud LP, the area’s most progressive manufacturer of cutting tools, is seeking a Product Data Analyst – Milling & Tapping to join our team.RESPONSIBILITIES: The Product Data Analyst – M&T role supports the cutting tools products, pricing and technical. The product line responsibilities include milling, tapping and soft materials. The Product Data Analyst is responsible for product attribute data; assembly, maintenance and communication of data. The Product Data Analyst ensures that all aspects of the LMT product pricing supports the strategic market position in the region.DUTIES: · Work with Product Line Manager – M&T and others, as necessary, to insure validity and availability of product attribute data in various systems including, but not limited to:o Sage X3 ERPo Web Platformo Channel Partner Systems· Ensure product pricing supports the strategic market position in the region.o Establish and maintan internal pricing structureo Continuously perform pricing analysis of select competitorso Implement pricing adjustments, as neededo Evaluation of Net Price Change· Sales & Marketing related data analysis and reporting.o Internalo Industry Associations· Technical Product Supporto Advise customers through the tech support line or e-mailo Present assigned topics at Distributor Training Seminars· Assist Product Line Manger – M&T with New Product Development Supporto LMT Onsrud product developmento Requirement for all other brands development support· Special Quotationso Develop speical tooling quoations in a back-up role to the Quoting Specialists· Assist in other projects, duties and responsibilities as assigned by the Product Line Manager – M&T.· Participate in corporate and departmental meetings as required.· Adhere to current corporate policies and procedures and applicable laws while representing LMT Tools in a professional manner in the market place.EDUCATION:· Bachelor’s Degree preferred from four-year College or University in a business or engineering related discipline. Minimum requirement is an associate degree with related work experience.EXPERIENCE:· Minimum of 5 year of sales, marketing or technical experience with industrial cutting tools.SKILLS: · Exceptional verbal and written communications skills of a business and technical nature· Strong understanding of MS Excel and MS Access· Analytical and critical thinking· Project management· Ability to work with large data volumes and complex business scenariosREQUIREMENTS: · Independent, self-directed, results-oriented professional with experience in working in an office environment.· Must be a person of high integrity and conduct themselves in a professional manner.Job Type: Full-timePay: $60,000.00 - $70,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offReferral programTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payEducation:Associate (Preferred)Experience:Sales, Marketing, or Technical: 5 years (Preferred)Work Location:One locationCompany's website:www.onsrud.comBenefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place"
6,data analyst,"Pleasant Prairie, WI",$65K - $79K (Employer est.),"Supply Chain Data AnalystCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158Driven by Speed, Passion and Operational Excellence, Uline’s Distribution Operations team supports our fulfillment operations across North America to be the leading distributor of shipping, packaging and industrial supplies!Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.Position ResponsibilitiesAnalyze company operations, including performance and productivity data, error rates and their root causes.Independently interpret results using a variety of techniques, ranging from simple data analysis to complex data mining.Analyze reports to identify distribution operational issues.Conduct ad hoc analyses on various departments and branches.Design, develop, implement and maintain business solutions to improve performance.Minimum RequirementsBachelor's degree.2 years experience.Working knowledge of SQL, data extraction and analysis a must.Experience in a distribution, supply chain or warehouse environment a strong plus.Excellent proficiency in Microsoft Office, especially Excel.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-SN1#CORP"
7,data analyst,Remote,None,"TeamSoft is helping our client with their opening for a Business / Data Analyst in the Madison, WI area. This role is likely to be fully remote, since it runs through June 30, 2021.In this role, you'll be providing Business Analysis services related to modernization efforts, and you'll work significantly on a complex data aggregation project.Required & Desired: Business / Data Analyst experience translating complex data efforts into a comprehensive plan for the business, working directly with the business team.Experience with the best practices in creating a plan to display complex data in an easily navigable mannerAccess, SQL and spreadsheet experience - specifically database design experienceArcGIS, Tableau and/or PowerBI is preferred.Creation of testing plans is preferred.** A full job description will be provided to interested parties.Why Work with TeamSoft?TeamSoft is more than just an IT staffing company. With offices located in Madison, Wisconsin and Des Moines, Iowa, we work with both local and national clients and consultants to create lasting partnerships.You take your career seriously and so do we. At TeamSoft you are not just a resume or number. We get you. We know you. And we will work together to find you the perfect contract, contract-to-hire, or direct-hire opportunity.TeamSoft offers a suite of full health & wellness benefits to all of our W2 consultants, which includes a 401k plan with up to a 4% match, as well as, 5 weeks of PTO for our salaried consultants. TeamSoft's culture of giving back to the community reflects our consultants. We support our consultants' participation in charitable endeavors and are proud to help numerous causes and non-profit organizations.Find out why TeamSoft is the technology leader with over 200 IT consultants. Managed by IT professionals, TeamSoft is the clear choice for your career. TeamSoft, a better way! TeamSoft is an equal employment opportunity employer functioning under an Affirmative Action Plan.Job Types: Full-time, ContractPay: $34.00 - $44.00 per hourBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programFlexible scheduleHealth insuranceLife insurancePaid time offProfessional development assistanceReferral programTuition reimbursementVision insuranceSchedule:8 hour shiftMonday to FridayEducation:Associate (Preferred)Experience:SQL: 3 years (Required)Microsoft Access: 3 years (Required)Business analysis: 1 year (Required)Tableau: 1 year (Preferred)Power BI: 1 year (Preferred)ArcGIS: 1 year (Preferred)Contract Length:3 - 4 monthsContract Renewal:PossibleWork Location:Fully RemoteCompany's website:www.teamsoftinc.comCompany's Facebook page:https://www.facebook.com/TeamSoftIncBenefit Conditions:Waiting period may applyCOVID-19 Precaution(s):Remote interview process"
8,data analyst,"Orlando, FL",$47K - $87K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goalsProvide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)Assemble and summarize data to structure sophisticated reports on status and risksWork with data analytics external vendors to ensure completeness and accuracy of published information in the dashboard sitesConduct business studies on past, future and comparative performance and work with finance to develop forecast modelsMaintain specific KPIs that will flag lower than expected performance or anomalies in the data as the driver or causePerform ad-hoc analysis and produce summarized reports based on current initiatives and specific areas of focus deemed important to drive performanceReconcile transactions by comparing and correcting dataGain and update job knowledge to remain informed about novelty in the field including differences and updates of data dictionariesWork alongside the Medical Economics team at the local provider groups to vet, understand and improve the presentation and ensure they are driving action instead of simply reportingDrive process improvement and policy development initiatives that impact the data analysis functionAbility to streamline aggregation and maintenance of payer data archiveMinimum Qualifications1-3 years of experience Industry related (business, health care, consulting, insurance)Bachelor’s degreeHealthcare experience preferredProficiency in Microsoft Office including Excel (Vlookups and Pivot Tables), Access and WordSQL Query skill is requiredExcellent verbal, written and mathematical skillsIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
9,data analyst,"Orlando, FL",$41K - $83K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.Reporting to the InnovaCare Partners Director of Informatics, the Data Analyst will be responsible for creating reports and the analysis of data. The position is also responsible for research, collection, analysis and presentation of the practice’s utilization and financial data. Must have the ability to work with multiple departments within the organization in an effort to coordinate analytics to enhance operational efficiencies.Duties and Responsibilities:Consolidate and analyze population data (premium, eligibility, claims utilization etc.) taking into account company’s goals and financial goalsProvide creative alternatives to best organize and present data from all sources (third party payors, EMR and operational)Assemble and summarize data to structure sophisticated reports on status and risksWork with data analytics external vendors to ensure completeness and accuracy of published information in the dashboard sitesConduct business studies on past, future and comparative performance and work with finance to develop forecast modelsMaintain specific KPIs that will flag lower than expected performance or anomalies in the data as the driver or causePerform ad-hoc analysis and produce summarized reports based on current initiatives and specific areas of focus deemed important to drive performanceReconcile transactions by comparing and correcting dataGain and update job knowledge to remain informed about novelty in the field including differences and updates of data dictionariesWork alongside the Medical Economics team at the local provider groups to vet, understand and improve the presentation and ensure they are driving action instead of simply reportingDrive process improvement and policy development initiatives that impact the data analysis functionAbility to streamline aggregation and maintenance of payer data archiveSkills and Qualifications:1-3 years of experience Industry related (business, health care, consulting, insurance)Bachelor’s degreeHealthcare experience preferredProficiency in Microsoft Office including Excel (Vlookups and Pivot Tables), Access and WordSQL Query skill is requiredExcellent verbal, written and quantitative skillsIf you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
