,title,company,description,location,posted_date
0, Data Analyst , QED National ,"A leading transportation authority located in New York, NY is looking for a Data Analyst for a 6 month contract.  Please note: This position will allow consultant to work on a hybrid remote schedule (2 days onsite/ 3 days remote) upon start.  To be considered for this position, the client has advised that upon placement, consultants will be required to wear a mask under certain circumstances, show proof of full vaccination or submit on a weekly basis proof of a negative COVID-19 PCR diagnostic t"," New York, NY, USA ", Posted 1 day ago
1, Data Analyst , Randstad Technologies ,"job summary:  We have a premier client in Schertx Texas that is looking to hire a Data Analyst for a permanent opportunity. You will be responsible for creating reports, dashboards, insights, and analytics companywide.  This includes creating specifications for reports and analysis based on business needs, possibly providing consultation to users, and working on cross-functional teams to address opportunities. Additional responsibilities include producing datasets and reports for analysis using "," Schertz, TX, USA ", Posted 1 day ago
2, Data Analyst ," Stratus Technology Services, LLC ","Data AnalystThis position is ideal for a self-motivated, curios individual with experience analyzing complex data, deriving insight, and visualizing for easy understanding & consumption (reporting). We are looking for someone with a passion for the data and analytics field as this company leans more heavily on data and analytics as a core asset to the company. A willingness to learn and go the extra mile to solve business problems is highly desirable.The company is growing rapidly and is investi"," Remote or Warren, NJ, USA ", Posted 2 days ago
3, Data Analyst , Michael Page International ,"As the Data Analyst, you will work closely with the product and engineering teams to help transition from project-based to team-based funding. You will manage projects aimed at improvements in operational reporting and analysis. Client Details The client is a leader in the retail and beauty space. Description As a Data Analyst, responsibilities include: Develop a data pipeline to report key operational metrics Enable the adoption of business metrics Manage budget allocation while actively commun"," New York, NY, USA ", Posted 8 days ago
4, Data Analyst , ITECCO Limited ,"Role: Data Analyst Salary: $110,000 - $140,000 (plus benefits) Location: Austin, Texas (Hybrid Model) Sponsorship: Not available  I am currently on the lookout for a Data Analysis to join one of the largest U.S. banks based in Austin Texas. Within this position you will be working functionally across the business with Engineering, Finance, Customer success and product to collect, analyze and interpret data related to the bank's commercial lending and business operations.  Working on a Hybrid mod"," Austin, TX, USA ", Posted 8 days ago
5, Data Analyst , Randstad Technologies ,"job summary:  Data Analyst, Partner Payments- Marketplace About the Job  This role will be a key member of the Marketplace Partner Payments & Financial Services team with a primary focus on payments analysis and improvements to the Settlement operations & experience. Be a product-oriented Data Analyst creating and experimenting with new ideas that will engage and excite different stakeholders.' Key Success Criteria analytical aptitude Driving ownership and accountability Uses data and analysis t"," San Bruno, CA, USA ", Posted 11 days ago
6, Data Analyst , Randstad Technologies ,"job summary:  Seeking a full-time Data Analyst to join the Data Operations Team. Your mission is to ensure our key data assets are ready for use by the entire firm on a daily basis. We are looking for someone with an ""eye for quality and details"". We want someone with the managerial skills to triage issues as they arise, intuitively to ask the right questions, and execute a corrective course of action. We are looking for someone with excellent sleuthing skills to investigate issues to uncover ro"," Boston, MA, USA ", Posted 11 days ago
7, Data Analyst , Michael Page International ,"As the Data Analyst, you will work closely with the product and engineering teams to help transition from project-based to team-based funding. You will manage projects aimed at improvements in operational reporting and analysis. Client Details The client is a leader in the retail and beauty space. Description As a Data Analyst, responsibilities include: Develop a data pipeline to report key operational metrics Enable the adoption of business metrics Manage budget allocation while actively commun"," New York, NY, USA ", Posted 15 days ago
8, Senior Data Analyst , Geopaq Logic ,"Job Title : Data Analyst  Location : Ridgefield Park, NJ  Duration : 1 + years Responsible for updating, testing, and deployment of our Varicent Compensation Tool.  Working with the administration team to gather requirements and turn them into executed plans within the system. We are seeking an analyst who has experience with Varicent Software configuration and has built plans, reporting, and workflows within Varicent. This position will report to the Associate Director in charge of the Varicent"," Ridgefield Park, NJ, USA ", Posted 7 days ago
9, Data Analyst II , Experis ,"Job Title - Data Analyst II Our client in Plymouth, MN is looking for hardworking, motivated talent to join their team. Don't wait  apply today! What's in it for you? Payrate or Pay range (REQUIRED FIELD): $27/hr. on w2 Onsite, Remote or Remote Location Specific: Onsite Contract or Permanent: Contract Full time or Part Time: Full time  Job Description  Data Analyst is responsible pulling data to support trending of product complaints and medical device reports utilizing data that resides in the "," Plymouth, MN, USA ", Posted 5 days ago
