,title,company,description,location,posted_date
0, Data Architect , Ekcel Technologies Inc ,"Role: Data Architect Location: Chicago, Illinois (Hybrid)   Only FTE   Must-Have Skills: ADF, IICS, SQL, Azure Synapse, Azure Cloud   Good to Have: Power BI   Relevant Experience: 12+ years   Skills Must to have:- 8+ Years of strong experience in delivering DW BI solutions.Expert in Azure Data Factory, Azure Data Lake Analytics, IICS (Informatica).Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.Exceptional knowledge in designing high performance Clou"," Chicago, IL, USA ", Posted 1 day ago
1, Data Architect , Randstad Technologies ,"job summary:  Details:  As a Reporting Architect / Data Architect within Technical Infrastructure, you will be following established written procedures, guidelines and techniques to develop and implement business intelligence and operational reporting. You will also be required to understand end-to-end data development and data management within a data warehouse environment. This role requires a Bachelors/Technical degree or equivalent experience in related IS/IT discipline. You will use and app"," Charlotte, NC, USA ", Posted 1 day ago
2, Data Architect , InfoTech Spectrum Inc ,"InfoTech Spectrum - A trusted partner (;/u> At InfoTech Spectrum, we connect top talent and leadership across North America with top-performing Fortune 500 and global corporations. As a leading provider of IT & Professional Staffing, Executive Search and Contingent Workforce Solutions since 2003, it is our passion to dig deep into your business goals and connect you with the best people to make those goals reality. Consistently recognized as a top talent acquisition solutions company, we thrive "," Chicago, IL, USA ", Posted 2 days ago
3, Data Architect / Modeler ," App Y Systems, Inc ",NOTE - Apply only suitable candidates only Role - Data architect/modelerLocation: Alpharetta GA / Hybrid ModelLong Term contract role Need 10+ experience  If any one interested share the profiles to email," Alpharetta, GA, USA ", Posted 3 days ago
4, Data Architect , Prudent Technologies and Consulting ,Job Title: Data Architect  Fulltime-Contact  Data Architect with Clinical Data Experience Must have experience with Clinical data working in a healthcare organization Experience working with patient data Identity source data Data mapping Epic  Provide guidance on data migration must have medical data literacy, Remote , Posted 2 days ago
5, Data Architect , Randstad Technologies ,"job summary:  Position Summary:  Data Architect will be responsible for producing and maintaining Data strategy. Architecture for operational data stores, data warehouses and data marts on Cloud Environment. Participate in design, development and implementation of architectural deliverables in a Cloud or Hybrid environment Assess Components and optimization of system design and review of user requirements. Coordinating and collaborating with cross-functional teams, stakeholders and vendors for t"," Charlotte, NC, USA ", Posted 13 days ago
6, Data Architect ," Stamford Technology Solutions LLC, DBA Infinity ","Role: Data Architect Location: Chicago, Illinois (Hybrid) Fulltime   Must-Have Skills: ADF, IICS, SQL, Azure Synapse, Azure Cloud   Good to Have: Power BI   Relevant Experience: 12+ years   Skills Must to have:- 8+ Years of strong experience in delivering DW BI solutions.Expert in Azure Data Factory, Azure Data Lake Analytics, IICS (Informatica).Experience implementing Azure Data Factory Pipelines using latest technologies and techniques.Exceptional knowledge in designing high performance Cloud "," Chicago, IL, USA ", Posted 8 hours ago
7, Data Architect/Modeler , Mindlance ,"This position is for a data architect/modeler. The main project will be to create, document and maintain enterprise-wide data models to represent IT infrastructure and its relationship with business applications. The organization is looking to adopt ServiceNow’s CSDM data model, however the scope of this position is beyond ServiceNow, as there are a number of other data warehouses that will be under this position’s scope of responsibility. The data architect will facilitate the collection of inf"," Alpharetta, GA, USA ", Posted 3 days ago
8, Sr Data Architect , Randstad Technologies ,"job summary:  The Sr. Data Architect is a technical leadership role to strategically design and implement the technical vision and blueprint of the organization's data framework while ensuring high quality and availability of data. This individual has primary responsibility for defining the enterprise data management framework, data and tool standards, models, architectures, and governance procedures that optimize and manage automated data flow.  The Sr. Data Architect will also evaluate and rec"," St. Louis, MO, USA ", Posted 2 days ago
9, Google Cloud Platform Data Architect , Avance Consulting ,"Google Cloud Platform Data ArchitectResponsibilities Technical leader and subject matter expert for a given set of technologies and applications as well as related processes and data Perform product-based application assessment, portfolio rationalization and provide solution to modernize, migrate and integrate applications to cloud using best practices and other approaches Engage with both business and technology stakeholders to gather the required information, understand the client expectations"," Twinsburg, OH, USA ", Posted 3 hours ago
10, Data Architect ," Zachary Piper Solutions, LLC ","Piper Companies is seeking a Data Architect for an award winning SaaS company in Raleigh, NC. The Data Architect must reside in the state of North Carolina and be able to come into the office for meetings from time to time. A successful candidate for the Data Architect will possess previous experience leading/designing data solutions on a cloud platform. Responsibilities for the Data Architect include: • Lead solution and technical architecture for the team • Design and develop a unified data st"," Raleigh, NC, USA ", Posted 13 days ago
11, Data Architect , Prophecy Consulting ,"Job Title -Innova Solutions / HAEA |  Data Architect  | Irvine , CA (Onsite) JD : Data Strategy & Planning Data Integration approaches/models Hybrid cloud and on-premise expertise Master Data Management Planning, Design, Migration Data Governance and Policy Mgmt Data Transformation, Data Quality  Role would be on-site in Fountain Valley 3-4 days per week. Apps include SAP, Salesforce, Oracle DB, EDW, numerous propriety apps and platforms"," Irvine, CA, USA ", Posted 1 day ago
12, Data Architect ," Capgemini America, Inc. ","Title:  AEP Data Architect Location: New York City, NY   Job Summary  As a Data Architect you will be responsible for designing, implementing, and maintaining the overall data architecture of our organization. You will work closely with cross functional teams to identify the data needs of the organization and develop strategies to meet those needs. You will also be responsible for ensuring the security accuracy and accessibility of the data.   Responsibilities  Design and implement the overall d"," New York, NY, USA ", Posted 3 days ago
13, Azure Data Architect , Zora ,"Key Skills:data warehouse,Azure,Data Architect Exp: 8 year Duration: 6 month C2H Job Type: Remote Azure Data Architect: · Contribute to team supporting consumer IoT products · Analyze current cloud-based data architecture · Help design next generation architecture to ensure scalability and growth of product related systems Required Skills: · Strong data modeling skills · Real experience with Azure Data Architect sharding and partitioning · Expertise in distributed Data Architect - especially Pos", Remote , Posted 10 hours ago
14, Data Architect , Nityo Infotech Corporation ,"Minimum 12 years of working experienceExcellent communication skillsHands-on development experience and willingness to develop and code the assignmentsExperience of working as an data architect and working with customer stakeholders,We need candidates who has – Databases like Postgres or SQL or oracle, DMS, kinesis and Python in expert level (Hands-on guys who worked in those technologies) and  Databricks as optional.Experience of working as onsite coordinator and mentor for offshore teamExperie"," Remote or Pittsburgh, PA, USA ", Posted 2 days ago
15, Data Architect , HireTeq ,"Job Title: Senior Data Architect Location: NYC, NY - Hybrid  Duration: Fulltime Direct hire Job Description: Provide centralized data services for Digital solutions teams – data scientists, business users with NoSQL and Big Data platforms, hybrid cloud, and BI tools.This position will cover multiple data driven projects encompassing data requirements gathering, discovery, pipeline design, data modeling, DDL release, and query tuning.Must be able to work independently, acting as the lead expert i"," New York, NY, USA ", Posted 2 days ago
16, Data Architect , SOHO Square Solutions ,"Description:  Develop metadata schemas, taxonomies, ontologies and content models Design new relational data models Interact with stakeholders and customers to collect and analyze data requirements. Create models to represent new data concepts into existing data models Analyze and consolidate legacy data models into CSDM Drive CSDM adoption across the organization. Qualifications (required) Experience with database design and data modeling Experience doing business analysis Experience with data "," Alpharetta, GA, USA ", Posted 3 days ago
17, Azure Data Architect , Incedo Inc ,"Azure Solution Architect Role: Azure Solution Architect Total Experience: 15+ Years Job Purpose: A solutions architect works independently with business and technical stakeholders, understands the organization’s obstacles, and further provides due diligence.Provided recommendations to business stakeholders and Leadership to solve complex business issues. Developed business cases for projects with a projected return on investment and cost savings.Articulated and defined the Data strategy to moder"," Concord, CA, USA ", Posted 8 days ago
18, Data Architect , Blue Rose Technologies LLC ,"** West Coast Candidates Preferred **   Sr Data Architect Remote - PST 12+ months   Must have 15+ yrs of overall experience Design and implement data collection, storage, transformation, distribution, and usage. Focused on Data Warehouse, ETL, Data Lake, CMDB.Identifying data sources, both internal and external, and working out a plan for data management that is aligned with data strategy.Managing end-to-end data architecture, from selecting the platform, designing the technical architecture, de", Remote , Posted 1 hour ago
19, Data Architect ," Activesoft, Inc. ","Responsibilities Research and properly evaluate sources of information to determine possible limitations in reliability or usabilityAnalyzing and translating business needs to create solution data modelsImplementing data strategies and creating physical data modelsApply sampling techniques to effectively determine and define ideal categories to be questionedCompare and analyze provided statistical information to identify patterns, relationships, and problemsDefine and utilize statistical methods"," Cincinnati, OH, USA ", Posted 3 days ago
20, Data Architect (healthcare) : Remote , SnS Global Corp ,"Title – Data Architect (healthcare) Location – Remote  Long Term Contract Some key attributes we are looking for include: • Ability to lead the technical architecture design and development of a global multi-billion $ organization • Acknowledged expert in the area of Data Architecture, Data Fabric, Data Mesh, Data Virtualization, MDM, Data Modeling, Real-Time Data Management Architectures, AWS Data Services and Architecture • 12+year’s overall experience starting in software development, data en", Remote , Posted 13 hours ago
21, Senior Data Architect , Whitehall Resources Limited ,"Senior Data Architect A Senior Data Architect is required by Whitehall Resources for our client in New York. This is a permanent role and will offer the successful candidate the chance to work for a globally recognized company. The successful candidate will come from a background of leading technical teams and will provide centralized data services for Digital solutions teams – data scientists, business users with NoSQL and Big Data platforms, hybrid cloud, and BI tools. New York Based Do you ha"," New York, NY, USA ", Posted 2 days ago
22, Data Architect , InfoTech Spectrum Inc ,"Greetings from Infotech spectrum!! InfoTech Spectrum delivers comprehensive fully integrated creative solutions in the areas of Java, Lifesciences (Validation), engineering and consulting services Role: Data Architect Location: NYC – 100% Remote Required: 12+ years’ experience as a data architectTotal experience -18+ yearsKnowledge and skills surrounding the .NET platform.Experience with SQL and OracleMinimum of 10 years of technical experience in data networking, storage, data management, and d", Remote , Posted 6 days ago
