,title,company,description,location,posted_date
0, Data Engineer , Beacon Hill Technologies ,Position Title: Data Engineer  Duration: 6 month+ contract Location: Strongly preferred local to Los Angeles Rate: $85/hour this is 80% PURE CODING and 20% architecture conversations. BASIC QUALIFICATIONS: Hands on databricks experience Python for Data Engineering / Data Integration/Pipeline / ELT SQL / Data Modeling / Data Warehouse DevOps Containerization and Orchestration 6+ years of data engineering experience developing large data pipelines Strong SQL skills and ability to create queries to, Remote , Posted 1 day ago
1, Data Engineer , Experis ,"Position Title: Data Engineer  Terms: Contract-to-Hire  Location: Greenwood Village, CO (Hybrid)  Pay Rate/Range: $60/HR+ Position Description:  Enable data-driven decision making and in-time health monitoring of Charter's products by building and deploying product and feature specific analytics capabilities. Support Product teams with the complex design, development, and implementation of automated reporting and dashboards. Produce complex ad-hoc reports and analytics. Develop real-time analyti"," Englewood, CO, USA ", Posted 1 day ago
2, Data Engineer , Randstad Technologies ,"job summary:  You wll be a member of the technical team configuring and transforming complex data to solve our client's challenges. The Data Engineer should be able to individually solve problems of high complexity while assisting/guiding other technical team members through their experience in problem resolution. They should be able to understand the business problem to be solved and should be skilled at extracting, transforming, and analyzing data using a variety of common analytical tools. Th"," Remote or Atlanta, GA, USA ", Posted 3 days ago
3, Data Engineer , Randstad Technologies ,"job summary:  You wll be  a member of the technical team configuring and transforming complex data to solve our client's challenges. The Data Engineer should be able to individually solve problems of high complexity while assisting/guiding other technical team members through their experience in problem resolution. They should be able to understand the business problem to be solved and should be skilled at extracting, transforming, and analyzing data using a variety of common analytical tools. T"," Remote or Atlanta, GA, USA ", Posted 3 days ago
4, Data Engineer , Infinite Computer Solutions (ICS) ,"Onsite required 2 days every other week in the nearest Verizon location. Preferred locations will be Florida, Virginia, Texas but other locations can be considered too if we find a suitable candidate outside of these location.   The Artificial Intelligence and Data team is looking for expert hands-on data engineers with experience in developing enterprise software applications with big data. As a Part of the Data Engineering & Analytics Team, this position is responsible for developing effective"," Ashburn, VA, USA ", Posted 1 day ago
5, Data Engineer , Precision Resource Group Limited ,"We're recruiting a Data Engineer with Snowflake experience for a  6+ month contract.  Responsibilities: Design and develop efficient and scalable data pipelines, ETL processes, and data models using Snowflake. Work closely with our data science and analytics teams to ensure data quality, accuracy, and completeness. Develop and implement data governance policies, procedures, and best practices. Design, implement and maintain data warehouses and data lakes on Snowflake. Collaborate with other team"," Kansas City, MO, USA ", Posted 5 days ago
6, Data Engineer , Ntelicor LP ,"Job Type: Contract Expectation: Remote  Responsibilities/Qualifications Designs, modifies, develops, and implements solutions for ingesting, provisioning and securing data in our Lake (S3), Warehouse (Redshift) and Marts (Redshift and MySQL) using Scala, Apache Spark, Hive, Apache Pig, MapReduce, AWS Data Pipeline, AWS Glue, AWS EMR and Apache Kafka as well as have experience with Informatica and Talend. Participates in the testing process through test review and analysis, test witnessing and ce", Remote , Posted 1 day ago
7, Data Engineer , Mastech Digital ,"Mastech Digital provides digital and mainstream technology staff as well as Digital Transformation Services for all American Corporations. We are currently seeking a Data Engineer for our client in the Financial Services domain. We value our professionals, providing comprehensive benefits and the opportunity for growth. This is a Contract position, and the client is looking for someone to start immediately. Duration: 12+ Months Contract Location: Smithfield, RI (5 days Onsite per month)  Salary:"," Smithfield, RI, USA ", Posted 6 days ago
8, Data Engineer , Randstad Technologies ,"job summary:  Development Engineer Profile (Python) Project: Data Lake Team. CX Cloud. CX Cloud provides a one-stop destination that combines Cisco expertise and best practices with telemetry, AI-/ML-driven insights, use cases, and contextual learning. The result is a single source of truth, with 360-degree insights that enable new Cisco business models and drive adoption? All the telemetry data that has been installed at the siteCisco needs to use this data to make proper insights to display da"," Remote or San Jose, CA, USA ", Posted 5 days ago
9, Data Engineer , Randstad Technologies ,"job summary:  Primarily responsible for the development of large scale data efforts tied to the cloud such as moving data to new cloud based solutions and building data lakes etc. To accomplish this the resource uses AWS, Python, Snowflake, and other data driven technologies,Snowflake Control M and UDeploy  Candidate will get an opportunity to work on latest tech stack and AWS cloud   location: Smithfield, Rhode Island  job type: Contract  salary: $79 - 80  per hour  work hours: 9am to 5pm  educ"," Smithfield, RI, USA ", Posted 4 days ago
