,title,company,description,location,posted_date
0, Data Scientist , Clearbridge Technology Group ,"Our client, a telecommunications company located in Stamford, CT is in need of a Data Scientist on a 3 to 6 month contract with high likelihood of extension and/or conversion to FTE for the right candidate. The Data Scientist will work onsite daily, building predictive and statistical models to improve credit policy and minimize credit losses by identifying possible defaulters. The Data Scientist will also create predictive models for such initiatives as: acquisition/risk management, customer re"," Stamford, CT, USA ", Posted 1 day ago
1, Data Scientist , Randstad Technologies ,"job summary:  Description: Must Have: Python Model development Training Testing and validation Model documentation and support. Azure development experience - Synapse and Cosmos DB Data Engineering experience Kafka  Nice to have: Utility or renewable experience    location: Charlotte, North Carolina  job type: Contract  salary: $71 - 81  per hour  work hours: 8am to 5pm  education: Bachelors     responsibilities: N/A    qualifications: Experience level: Experienced Education: Bachelors   skills:"," Charlotte, NC, USA ", Posted 1 day ago
2, Data Scientist , Randstad Technologies ,"job summary:  Store and Advertising Support and Services is seeking a highly analytical and self-driven Data Analyst with a data science background to join our Global Enablement Analytics and Insights team. As a Data Analyst, you will be responsible for leading predictive analytics and driving proactive analysis of the business to advise and measure the overall effectiveness of our strategy for providing a world-class support experience for our customers. The ideal candidate will have a strong t"," Remote or Redmond, WA, USA ", Posted 3 days ago
3, Data Scientist (Remote) , Codeforce 360 ,"Career Opportunity:  Job Title: Data Scientist (Remote) About CodeForce  360  Making a career choice is amongst the most critical choices one can make, and it's important for the choice to be calculated with factors such as a company's run of success since its inception and more. But, when you come across  a company that has reputation proven with nothing but an illustrious run of success since the day it began, you don't need to think of anything else. That's precisely what some of our employee"," Remote or Minneapolis, MN, USA ", Posted 2 days ago
4, Data Scientist , Randstad Technologies ,"job summary:  Provides technical support on complex and business critical projects related to wildfire mitigation, asset performance, and T&D Operations across six states. Leverages large quantities of data, such as weather, environmental, outage, vegetation, and grid attributes, to inform long term risk analysis and aid in decision making. Works alongside senior leadership to develop tools and analysis and inform the future of data driven decisions. Develops presentations for senior management "," Remote or Portland, OR, USA ", Posted 7 days ago
5, Data Scientist , Ascendion Inc. ,"We are hiring in Data Scientist, It's in Greenwood Village, CO (Hybrid – 3 day on-site, 2 day remote) - Need someone in Denver Title: Data Scientist  Duration: 6-12 Month Contract with extensions possible  Location: Greenwood Village, CO (Hybrid – 3 day on-site, 2 day remote)  Start Date: ASAP  Description:  Skills: 3+ years of Data Science & Data Mining exp (w/ PhD or Masters)  Would ideally like someone who is more on engineering side  Advanced knowledge of different data mining techniques suc"," Greenwood Village, CO, USA ", Posted 23 hours ago
6, Data Scientist , E-Deft ,"Data Scientist  Remote I need 4-5 yrs. of Healthcare Payor/Claims experience mandatory. At least 3+ yrs. Essential Duties & Functions: Overseeing data functions such as ingestion of structured/unstructured data, transformation, standardization, and QA to build robust and automated data pipelines. Document and maintain robust processes that move large amounts of complex data between multiple data storage systems including text extracts, RDBMS, and parquet formats. Perform deep-dive analyses using", Remote , Posted 6 hours ago
7, Data Scientist , U.S. Tech Solutions Inc. ,"Title: Data Scientist Duration: 4 Months Contract  Location: Remote (EST)   Job Description Knowledge of data scienceAnalytical roleTaking data and answer different business use cases – target specific questions, time impact, metrics.Working on user casesCommunicate internally of findings and data visualizations.Internal communications with team – some communication with stakeholders  Responsibilities: Work within a team of Data Scientists and Data Engineers on the application of advanced analyt", Remote , Posted 8 days ago
8, Data Scientist , QATOS LLC ,Role : Data Scientist Location :  Remote (CST) (Contrect) Job Description Mandatory Skill : AI Cognitive Agency  Manage Google Cloud Platform platform data loads in and out of the platform or within hybrid environment  Take offline models data scientists build and turn them into a real machine learning production system  Develop and deploy scalable tools and services for our clients to handle machine learning training and inference  Design the data pipelines and engineering infrastructure to sup, , Posted 15 days ago
9, Data Scientist , Cynet Systems ,"Job Title: Data Scientist Job Location: Los Angeles, CA  Job Type: Full Time / Perm / Direct Hire Job Description: Pay Range $120K - $175K A client seeks a Data Scientist to derive insights from the vast amounts of patient and environmental data available within our data warehouse. To achieve this goal, novel and creative machine learning and statistical analyses are needed. The incumbent will work closely with client's researcher teams to design analysis specifications, including input data spe"," Los Angeles, CA, USA ", Posted 1 day ago
10, Data Scientist , Cynet Systems ,"We are looking for Data Scientist for our client in Lawrenceville, NJ Job Title: Data Scientist Job Location: Lawrenceville, NJ Job Type: Contract Job Description: Pay Range $63hr - $66.50hr Responsibilities: Write python scripts to enable rapid cleaning and analysis of medium and high throughput datasets.Utilize machine learning (ML) approaches to generate small molecules featuresUtilize Bayesian statistics approaches to estimate uncertainties in assay datasets, based on results on above ML out"," Lawrence Township, NJ, USA ", Posted 1 day ago
11, Data Scientist , Blue Rose Technologies LLC ,"** West Coast Candidates Preferred **   Data Scientist Remote - PST 12+ months   Must have 12+ years of overall experience Implementing end-to-end data modeling, from the technical architecture, and developing the application to finally testing and implementing the proposed solution.Development experience on Google Cloud Platform (Big query and Vertex AI)", Remote , Posted 1 hour ago
