,title,company,skills,location,posted_date,type,salary
0,Data Architect,Cohesive Technologies LLC,Data architect,"Mountain View, CA",04-14-2023,"Contract: Independent, Corp-To-Corp, W2, Long term",
1,Data Architect,Ekcel Technologies Inc,Data Architect,"Chicago, IL",04-12-2023,Full Time,Depends on Experience
2,Data Architect,Randstad Technologies,Data Architect,"Charlotte, NC",04-12-2023,Contract: W2,USD51 - USD61
3,Data Architect,Randstad Technologies,Data Architect,"Tallahassee, FL",04-15-2023,Contract: W2,USD75 - USD90
4,Data Architect,Radus Tek Services,"Data Architect, data analysis, data governance","Tallahassee, FL",04-14-2023,"Contract: Independent, W2",Depends on Experience
5,Data Architect,InfoTech Spectrum Inc,"Data Architect, Azure","Chicago, IL",04-11-2023,Full Time,$0 - $0
6,Data Architect,Prudent Technologies and Consulting,"Data Architect, data migrationmust, Clinical Data Experience, Data mapping",Remote,04-11-2023,"Contract: Corp-To-Corp, W2, Independent, 2 Month(s)",$60 - $70
7,Data Architect / Modeler,"App Y Systems, Inc",Data Architect,"Alpharetta, GA",04-10-2023,"Contract: Corp-To-Corp, W2, Independent, 12 Month(s)",Depends on Experience
8,Data Architect,Randstad Technologies,Data Architect,"Charlotte, NC",03-31-2023,Contract: W2,USD60 - USD70
9,Data Architect/Modeler,Mindlance,"Data Architect, Data Modeler, warehouse","Alpharetta, GA",04-10-2023,Contract: W2,Depends on Experience
10,Senior Data Architect,VC5 Consulting,"Data Architect, Data ArchitectResponsibilities, data architecture, data dictionaries, data governance","Spring, TX",04-14-2023,Full Time,Depends on Experience
11,Sr Data Architect,Randstad Technologies,Sr Data Architect,"Saint Louis, MO",04-11-2023,Full Time,"USD140,000 - USD160,000"
12,Google Cloud Platform Data Architect,Avance Consulting,"DATA Architect, GCP","Twinsburg, OH",04-13-2023,Full Time,
13,Data Architect,"Zachary Piper Solutions, LLC","Architect, Data Architect, Data Modeling","Raleigh, NC",03-31-2023,Full Time,
14,Data Architect,Prophecy Consulting,"Data Governance, Data Architect, Data Management, Planning, Oracle, Transformation, Policy Management","Irvine, CA",04-12-2023,"Contract: W2, Corp-To-Corp, Independent, 12 Month(s)",$70 - $80
15,Data Architect,"Capgemini America, Inc.","Data Architect, NoSQL, data architecture, data governance, data modeling, data security, modeling data","New York, NY",04-10-2023,Full Time,"$100,000 - $140,000"
16,Data Architect,Nityo Infotech Corporation,"Data Architect, Postgres, Python, SQL, data pipelinesNear, oracle","Pittsburgh, PA",04-11-2023,"Contract: Corp-To-Corp, 12 Month(s)",$70+
17,Azure Data Architect,Zora,"data warehouse, Azure, Data Architect",Remote,04-13-2023,"Contract: W2, Independent",Depends on Experience
18,Data Architect,SOHO Square Solutions,"Servicenow, Power BI, Data Architect, CDSM","Alpharetta, GA",04-10-2023,"Contract: W2, Independent, Corp-To-Corp, 12 month(s)",
19,Azure Data Architect,Incedo Inc,"azure, data architect","Concord, CA",04-05-2023,Full Time,"$150,000 - $170,000"
20,Data Architect,Blue Rose Technologies LLC,"Data Architect, ETL, Data Warehousing, Data Lake, GCP, Google Cloud",Remote,04-13-2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience
21,Data Architect,"Activesoft, Inc.","Healthcare, hospital, insurance, Claims, Data Architect","Cincinnati, OH",04-10-2023,"Contract: W2, 6 Month(s)",Depends on Experience
22,Data Architect (healthcare) : Remote,SnS Global Corp,"Data Architect, healthcare, Data Fabric, Data Mesh, Data Virtualization",Remote,04-13-2023,Part Time,Depends on Experience
23,Senior Data Architect,Whitehall Resources Limited,"Data Architect, AWS, Azure, NoSQL","New York, NY",04-11-2023,Full Time,Depends on Experience
24,Data Architect,InfoTech Spectrum Inc,"Data Architect, sql, oracle, .Net platform, Data Mapping, Data Dictionary, Data Migration, Data Security, data network",Remote,04-07-2023,"Contract: W2, 24 Month(s)",Depends on Experience
25,DATA ARCHITECT,"Veritis Group, Inc.","DATA ARCHITECT, Data Architecture, Data Mapping, Data Modeling, PowerBI, Tableau, SDLC, Project Management, Azure, SQL",Remote,04-13-2023,Contract: W2,Depends on Experience
26,Data Architect,Blue Rose Technologies LLC,"Data Architect, AWS, Azure, NoSQL, Big Data, SQL, Erwin","New York, NY",04-12-2023,Full Time,Depends on Experience
27,Data Architect,"Synergetic Information Systems, Inc","Data Architect, ETL","Washington, DC",03-21-2023,Full Time,Depends on Experience
28,Data Architect,Peterson Technology Partners,"Data Architect, data architecture, data modeling, data transformation, data warehousing, Oil and Gas",Remote,03-31-2023,"Contract: Independent, Corp-To-Corp, W2, 12 Month(s)",Depends on Experience
29,Senior Data Architect,Samiti Technology Inc.,"Azure, Data Architect, Systems Architecture, data modeling","New York, NY",04-03-2023,"Contract: W2, 6 Month(s)",Depends on Experience
