,title,jobage,salary,jobtype,location,description
0,Real-World Data Epidemiologist,15 days ago,,Real-World Data Epidemiologist,US National,"
            Design <b>data</b> models for structuring and abstracting research <b>data</b> from patients' medical records. You have 3 or more years relevant experience. Work with our partners, clinical, and <b>data</b> <b>science</b> teams to design studies using real world <b>data</b>.
        "
1,"Director, Actuarial Science",30+ days ago,,"Director, Actuarial Science",US National,"
            Evaluate and recommend Marketplace growth opportunities to Senior Management. Lead and support development and execution of go-to-market strategies associated with Marketplace growth opportunities. Accountable for the high quality output ...
        "
2,Bilingual Wage Data Collector,30+ days ago,,Bilingual Wage Data Collector,"VA, Washington, DC, MD","
            The <b>Data</b> Collector assists with on-site activities of multiple CASTL projects, as assigned, some of which can include observations within classrooms, 1:1 direct child assessments, and <b>data</b> collection and upload using project guidelines. Possible...
        "
3,"Manager, Analytics Consulting - Life Sciences","New!
                3 days ago",,"Manager, Analytics Consulting - Life Sciences",US National,"
            Lead engagements of Analytics Consulting projects with customers who operate at the cutting edge of life <b>sciences</b>, serving as the primary customer contact throughout projects. You will partner with internal teams such as <b>data</b> <b>science</b> and customer...
        "
4,Data Engineer,1 week ago,,Data Engineer,US National,"
            Work directly with the senior <b>data</b>-engineer and <b>data</b> <b>science</b> team on all <b>data</b> engineering initiatives from the business. You will learn how to maintain and create new <b>data</b> pipelines, and you will be managing company wide shared <b>data</b> resources which...
        "
5,Data Scientist,30+ days ago,,Data Scientist,"Austin, TX","
<b>Data</b> scientist needed for a full-time, remote option position responsible for conducting research, writing code, generating and developing designs, and generally working with <b>data</b>. Three+ years' experience, computer <b>science</b> degree required.
        "
6,Secondary 6-12 Science Substitute Teacher,30+ days ago,,Secondary 6-12 Science Substitute Teacher,US National,"
            Working from your secure and distraction-free home office, certified Substitute Teachers will virtually support the learning program for students in our schools across the country. Using the telephone, Internet and various curriculum tools, the...
        "
7,Data Product Manager,30+ days ago,,Data Product Manager,US National,"
            The <b>Data</b> Product Manager works with the BI and <b>Data</b> <b>Science</b> teams to define product requirements based on the business objectives and customer needs.The <b>Data</b> Product Manager works with the BI and <b>Data</b> <b>Science</b> teams to prioritize projects based on impact.
        "
8,"Vice President, Data","New!
                Yesterday",,"Vice President, Data",US National,"
            Lead the <b>data</b> engineering, <b>data</b> management, <b>data</b> <b>science</b>, and machine learning teams. Execute a continual planning process that delivers dependable results. Foster a culture of curiosity and discovery. Master's degree and 10 years of exp in <b>data</b> <b>science</b>.
        "
9,Director of Data and Integrations,13 days ago,,Director of Data and Integrations,"Buenos Aires, Argentina","
            Drive the scope and effectiveness of the <b>Data</b> and Integrations function at the company. Postgraduate work or equivalent experience (Masters or PhD) in a quantitative field such as mathematics, physics, computer <b>science</b>, <b>data</b> <b>science</b>, statistics, etc.
        "
10,Data Scientist,30+ days ago,,Data Scientist,US National,"
            Design, create, and maintain <b>data</b> dashboards to help the team make better <b>data</b>-driven decisions. Collaborate with product and engineering to build <b>data</b>-powered features in the app. 1-2+ years experience as a <b>Data</b> Scientist, <b>Data</b> Engineer, <b>Data</b> Analyst...
        "
11,"Senior Product Leader, Life Sciences",16 days ago,,"Senior Product Leader, Life Sciences","Canada, or US National","
            Work with EHR product teams to curate relevant subject area <b>data</b> to ensure research-grade <b>data</b> streams. Work with Engineering teams to ensure requirements and <b>data</b> nuances are understood. Provide guidance and leadership around <b>data</b> validation, ensure...
        "
12,Data Scientist,9 days ago,,Data Scientist,US National,"
            Develop and maintain <b>data</b> models and tools that enable the <b>data</b> team to analyze large <b>data</b> sets and extract valuable insights. Use <b>data</b> crunching, statistical, and machine learning skills to contribute to high-impact projects affecting company revenue.
        "
