title,company,description,location,salary
AWS Data Engineer,KPI Partners,"Node.js for data pulls using API calls. Work collaboratively with Product Management, DevOps, and other software developers to develop applications that can be",Remote,"$140,000 - $160,000 a year"
"Data Engineer (Hybrid, Arlington VA)",Heuristic Solutions,LearningBuilder customers include small certification and licensure boards as well as large and complex organizations and the federal government.,"Arlington, VA","$115,000 - $125,000 a year"
Data Engineer,Amplify Resources Group,"Bachelor's degree in Computer science, statistics, applied mathematics, data management, information systems, information science, or a related quantitative","Orlando, FL","$109,305 - $140,000 a year"
Data Center Engineer - DE,Randstad Technologies,A strong working knowledge of data center processes and design. Previous experience working in a complex high availability data center environment providing,"Bear, DE",
Data Engineer - Flink,Amazon,AWS tools: 2 years (Required). Experience developing data pipeline parsers using Scala. Experience building and maintaining enterprise-scale (Terabyte - Exabyte,"San Diego, CA",$72 - $80 an hour
Data Center Engineer,Ryzen Solutions,*Competency to work independently with minimal supervision to maintain and repair servers in enterprise datacenter environments.*.,"Foster City, CA",$85 - $90 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer,Wevision LLC,"Drive adoption of the best engineering practices, including the use of design patterns, CI/CD, code review and automated integration testing.","Irvine, CA",$55 - $85 an hour
Telecommunications & Data Field Engineer,Redwood Systems INC,_*This can be an entry level position for candidates with either previous work experience in the field or candidate that may not have the work experience but,"Chicago, IL",$45K - $57K a year
Data Engineer,"Maas Energy Works, Inc","Bachelor's Degree in a quantitative field (Computer Science, Engineering, Statistics, etc.). Provide technical expertise in the implementation of Microsoft's","Redding, CA",$24 - $46 an hour
Data Engineer,Titan America,"Bachelor's degree in Computer Science, Computer Engineering, or a related technical field. Design, develop and maintain scalable data pipelines for extracting,","Roanoke, VA","$75,000 - $85,000 a year"
Data Engineer,Ghritachi Inc,"Bachelor's degree (or equivalent) in computer science, information technology, engineering, or related discipline. (In person Interviews are mandatory).","Dallas, TX",$50 - $55 an hour
Data Engineer,CEDENT,"Good working knowledge of Control-M/Automation tools. Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus.","Smithfield, RI",$108K - $137K a year
Data Engineer,Gridiron IT,Collaborate with the rest of data engineering team to design and launch new features. Design and develop robust and functional dataflows to support raw data and,"Washington, DC",$65 - $75 an hour
Data Engineer,Konnectingtree,This is a remote position with an Implementation partner. We are looking for a Data Engineer for one of our clients. Data Engineer with AWS Experience.,Remote,$45 - $50 an hour
Data Engineer,Infoway solutions LLC,"Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.","Santa Clara, CA",Up to $68 an hour
Implementation Data Engineer (East Coast Remote),Vision Government Solutions,"Ability to communicate and translate ideas between technical and non-technical parties. The right candidate will be driven by customer happiness, be obsessed",Remote,$62.7K - $79.4K a year
Data Center Engineer,The DAVIS Companies,"Structured cable installation and troubleshooting including copper and fiber optic cabling, wiring diagrams and pull schedules, site buildouts including rack",Massachusetts,
Data Engineer,Bay & Bay Transportation,"You would select, design, prototype, develop and implement technology solutions that will deliver the future of Bay & Bay with a small team of amazing software","Eagan, MN","$100,000 - $150,000 a year"
Building Engineer - Data Center,Paragon Services Engineering,"HVAC Maintenance and Operations, Central plant operations, Cooling tower maintenance, Water treatment systems, Air handlers operations and maintenance, Boiler","San Diego, CA",$30 - $44 an hour
Mechanical Engineer - HVAC Data Center Design,Equinix,"Directs external vendors per project or initiative such as general contractors, A&E design teams, commissioning agents, equipment suppliers, etc.","Redwood City, CA",
Data Center Engineer,Ryzen Solutions,*Competency to work independently with minimal supervision to maintain and repair servers in enterprise datacenter environments.*.,"Foster City, CA",$85 - $90 an hour
Data Center HVAC Facilities Engineer at Sabey Data Centers,Another Source,"Analyze and troubleshoot complex systems failures, coordinate installation, maintenance and repair of electrical and mechanical systems, building control","Quincy, WA","$58,536 - $71,707 a year"
Data Engineer,Zoll Medical Corporation,"5+ years of experience with data engineering, software engineering with data focus, business intelligence, data ETL, and data modeling.","Broomfield, CO","$125,000 - $140,000 a year"
"Building Engineer (Night Shift, Critical Data Centers) (23000727)",Newmark,"Monitor the operation and make customer approved adjustments of chilled water systems, heat exchangers, CRAC Units, HVAC, electrical systems, emergency back-up","Alpharetta, GA",$27 - $29 an hour
Data Sceintist/Machine Learning Engineer,T-Stone Technologies,Core data science work for selected ML apps. Data scientist with deep aws skills.,Remote,$75.01 an hour
Data Engineer,Intone Networks,SQL and data analysis Ideally looking for someone who has strong communication skills since they will be communicating with business.,"Smithfield, RI",$102K - $129K a year
Data Engineer,Wevision LLC,"Drive adoption of the best engineering practices, including the use of design patterns, CI/CD, code review and automated integration testing.","Irvine, CA",$55 - $85 an hour
Data Engineer,Ghritachi Inc,"Bachelor's degree (or equivalent) in computer science, information technology, engineering, or related discipline. (In person Interviews are mandatory).","Dallas, TX",$50 - $55 an hour
Data Engineer,CEDENT,"Good working knowledge of Control-M/Automation tools. Learn New technologies and evaluate new products, participating in Proof of Concepts (POCs) is a plus.","Smithfield, RI",$108K - $137K a year
Senior Data Center Infrastructure Engineer,MJHS,"Primary duties include analysis of wide area network (WAN), local area network (LAN), Wireless Network (Wi-Fi) storage area network (SAN) and network security","Brooklyn, NY",$64.5K - $81.7K a year
Data Engineer,Sound,"Measure data quality, identify improper data entry, develop errata reports, and curate data sources. Bachelor's degree in related field preferred.","Tukwila, WA",$60.8K - $77K a year
Data Engineer I - Cannabis Industry,IGS Solutions LLC,Stay up-to-date with emerging technologies and methodologies in the field of data engineering. 1-2 years of experience in data engineering or a related field.,"Los Angeles, CA","$68,000 - $78,000 a year"
Data Engineer,Konnectingtree,This is a remote position with an Implementation partner. We are looking for a Data Engineer for one of our clients. Data Engineer with AWS Experience.,Remote,$45 - $50 an hour
Data Engineer,Infoway solutions LLC,"Work with client teams to design and implement modern, scalable data solutions using a range of new and emerging technologies from the Google Cloud Platform.","Santa Clara, CA",Up to $68 an hour
Data Engineer - Oracle,"Infinity Consulting Solutions, Inc.","Requires 2+ years' experience in the design, implementation and support of full life-cycle data engineering projects.","Houston, TX",
Data Engineer,Clairvoyant,"Boto3, S3 client object API calls, pagination, StepFunction, serverless architecture, Glue data catalog, authoring Glue jobs, authoring Lambda functions, Lambda",Remote,"$140,000 - $160,000 a year"
Big Data Engineer,Purple Drive Technologies,"Hands on programming experience in Java, Scala, Python. Work as a big data developer in agile project. Big data: 10 years (Required). RDBMS - MySQL and No-SQL.","Costa Mesa, CA","$110,000 a year"
Telecommunications Engineer Data,Adept Consulting Services,"Field of Study: Engineering or Telecommunication or related field. 7 years' experience managing, developing and delivering strategic network architectural",Pennsylvania,"$100,000 - $120,000 a year"
"Data Center Facilities Engineer, Electrical",Sabey Corporation,"Analyze and troubleshoot complex systems failures, coordinate installation, maintenance and repair of electrical and mechanical systems, building control","Quincy, WA","$58,536 - $71,707 a year"
Software & Data Analytics Engineer,FacilityConneX,"You will leverage experience from various sources such as software developers, engineers, partner subject matter experts, and end users - to define business","Nashua, NH",$95.9K - $121K a year
Data Center Operating Engineer at International IT Corporation,Activ8 Recruitment and Solutions,"Perform Preventive and Proactive Maintenance, troubleshooting of HVAC, electrical systems, and other related as maintaining all Federal, State, and Local","Staten Island, NY",$34 - $66 an hour
Data Platform Engineer,Securian Financial Group,"Delivers the platforms, tools, and technical solutions to ensure areas such as Data Engineering, Data Science, Data Governance, and Analytics teams can","Saint Paul, MN",$90.4K - $114K a year
